ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,85995,Neonatal mortality rate (5 year periods),20,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,1998,DHS,,,15,25,
ZAF,794581,Postneonatal mortality (5 year periods),26,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,1998,DHS,,,20,31,
ZAF,785930,Infant mortality rate (5 year periods),45,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,1998,DHS,,,38,53,
ZAF,56239,Child mortality (5 year periods),15,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,1998,DHS,,,9,20,
ZAF,101014,Under-five mortality rate (5 year periods),59,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,1998,DHS,,,50,68,
ZAF,83222,Neonatal mortality rate,20,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1998,DHS,,,15,25,
ZAF,101020,Neonatal mortality rate,19,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1998,DHS,,,16,23,
ZAF,57409,Postneonatal mortality rate,26,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1998,DHS,,,20,31,
ZAF,83666,Postneonatal mortality rate,23,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1998,DHS,,,19,27,
ZAF,61831,Infant mortality rate,45,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1998,DHS,,,38,53,
ZAF,76067,Infant mortality rate,42,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1998,DHS,,,37,48,
ZAF,799142,Child mortality rate,15,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1998,DHS,,,9,20,
ZAF,66518,Child mortality rate,15,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1998,DHS,,,12,19,
ZAF,26522,Under-five mortality rate,59,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1998,DHS,,,50,68,
ZAF,775922,Under-five mortality rate,57,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1998,DHS,,,50,63,
ZAF,101665,Stillbirths,127,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_NSB,63236010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNSB,,1998,DHS,,,,,
ZAF,101666,Early neonatal deaths,66,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_NEN,63236020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNEN,,1998,DHS,,,,,
ZAF,451037,Perinatal mortality rate (5 years),38,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_PMR,63236030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCPMR,,1998,DHS,5119,5183,,,
ZAF,485682,Number of pregnancies of 7+ months duration,5119,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_NUM,63236040,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNUM,,1998,DHS,,5183,,,
ZAF,413974,Number of pregnancies of 7+ months duration (unweighted),5183,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_UNW,63236050,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCUNW,,1998,DHS,5119,,,,
ZAF,57558,Neonatal mortality rate (5 year periods),21,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,2016,DHS,,,13,29,
ZAF,795627,Postneonatal mortality (5 year periods),14,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,2016,DHS,,,9,20,
ZAF,61510,Infant mortality rate (5 year periods),35,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,2016,DHS,,,26,44,
ZAF,61299,Child mortality (5 year periods),7,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,2016,DHS,,,4,10,
ZAF,62393,Under-five mortality rate (5 year periods),42,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,2016,DHS,,,33,51,
ZAF,792292,Neonatal mortality rate,21,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2016,DHS,,,13,29,
ZAF,801557,Neonatal mortality rate,25,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,2016,DHS,,,18,31,
ZAF,802092,Postneonatal mortality rate,14,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,2016,DHS,,,9,20,
ZAF,101198,Postneonatal mortality rate,18,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,2016,DHS,,,14,23,
ZAF,62500,Infant mortality rate,35,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,2016,DHS,,,26,44,
ZAF,67910,Infant mortality rate,43,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,2016,DHS,,,35,51,
ZAF,797370,Child mortality rate,7,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,2016,DHS,,,4,10,
ZAF,72916,Child mortality rate,8,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,2016,DHS,,,6,10,
ZAF,798705,Under-five mortality rate,42,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2016,DHS,,,33,51,
ZAF,66964,Under-five mortality rate,51,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2016,DHS,,,42,59,
ZAF,101330,Stillbirths,37,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_NSB,63236010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNSB,,2016,DHS,,,,,
ZAF,101331,Early neonatal deaths,66,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_NEN,63236020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNEN,,2016,DHS,,,,,
ZAF,459334,Perinatal mortality rate (5 years),29,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_PMR,63236030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCPMR,,2016,DHS,3577,3563,,,
ZAF,471802,Number of pregnancies of 7+ months duration,3577,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_NUM,63236040,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNUM,,2016,DHS,,3563,,,
