ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,91409,Female deaths that are pregnancy-related,5.5,1,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,1998,DHS,,,,,
ZAF,91377,Number of pregnancy-related deaths,19,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,1998,DHS,,,,,
ZAF,768646,Years of exposure to the risk of mortality for women,122701,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,1998,DHS,,123738,,,
ZAF,768647,Years of exposure to the risk of mortality for women (unweighted),123738,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,1998,DHS,,123738,,,
ZAF,535566,Pregnancy-related mortality rate,0.15,2,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,1998,DHS,122701,123738,,,
ZAF,796695,General fertility rate,97,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,1998,DHS,,,,,
ZAF,713103,Pregnancy-related mortality ratio,150,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,1998,DHS,,,77,223,
ZAF,796696,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),77,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,1998,DHS,,,,,
ZAF,796698,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),223,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,1998,DHS,,,,,
ZAF,796697,Lifetime risk of pregnancy-related death,0.005,3,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,1998,DHS,,,,,
ZAF,169721,Female deaths that are pregnancy-related,7.8,1,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,2016,DHS,,,,,
ZAF,169709,Number of pregnancy-related deaths,31,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,2016,DHS,,,,,
ZAF,169751,Years of exposure to the risk of mortality for women,62768,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,2016,DHS,,63523,,,
ZAF,169752,Years of exposure to the risk of mortality for women (unweighted),63523,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,2016,DHS,,63523,,,
ZAF,530323,Pregnancy-related mortality rate,0.47,2,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,2016,DHS,62768,63523,,,
ZAF,169698,General fertility rate,88,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,2016,DHS,,,,,
ZAF,171595,Pregnancy-related mortality ratio,536,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2016,DHS,,,270,802,
ZAF,169715,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),270,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,2016,DHS,,,,,
ZAF,169705,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),802,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,2016,DHS,,,,,
ZAF,169716,Lifetime risk of pregnancy-related death,0.015,3,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,2016,DHS,,,,,
ZAF,773982,Maternal mortality ratio,475,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_MMR,77033060,I,1000,0,Total,Total,0,,1,1,MMMMROWMMR,,2016,DHS,,,234,715,
