ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,751751,Antenatal care provider: Doctor,28.5,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWDOC,,1998,DHS,2871,2903,,,
ZAF,567476,Antenatal care provider: Doctor,30,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWDOC,,1998,DHS,4122,4148,,,
ZAF,205488,Antenatal care provider: Doctor,27.3,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWDOC,,1998,DHS,2010,2041,,,
ZAF,751748,Antenatal care provider: Nurse/midwife,66.6,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNRS,,1998,DHS,2871,2903,,,
ZAF,567472,Antenatal care provider: Nurse/midwife,65,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNRS,,1998,DHS,4122,4148,,,
ZAF,205485,Antenatal care provider: Nurse/midwife,68.4,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNRS,,1998,DHS,2010,2041,,,
ZAF,751754,Antenatal care provider: Traditional birth attendant,0.1,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTBA,,1998,DHS,2871,2903,,,
ZAF,567471,Antenatal care provider: Traditional birth attendant,0.1,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTBA,,1998,DHS,4122,4148,,,
ZAF,205487,Antenatal care provider: Traditional birth attendant,0.1,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTBA,,1998,DHS,2010,2041,,,
ZAF,751752,Antenatal care provider: Other,0.6,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOTH,,1998,DHS,2871,2903,,,
ZAF,567479,Antenatal care provider: Other,0.7,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOTH,,1998,DHS,4122,4148,,,
ZAF,205489,Antenatal care provider: Other,0.7,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOTH,,1998,DHS,2010,2041,,,
ZAF,751749,Antenatal care provider: Missing ,1.2,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWMIS,,1998,DHS,2871,2903,,,
ZAF,567473,Antenatal care provider: Missing ,1.1,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWMIS,,1998,DHS,4122,4148,,,
ZAF,205491,Antenatal care provider: Missing ,0.9,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWMIS,,1998,DHS,2010,2041,,,
ZAF,751753,No antenatal care,2.9,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNON,,1998,DHS,2871,2903,,,
ZAF,567480,No antenatal care,3.1,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNON,,1998,DHS,4122,4148,,,
ZAF,205490,No antenatal care,2.7,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNON,,1998,DHS,2010,2041,,,
ZAF,751750,Antenatal care: Total,100,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1998,DHS,2871,2903,,,
ZAF,567474,Antenatal care: Total,100,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTOT,,1998,DHS,4122,4148,,,
ZAF,205497,Antenatal care: Total,100,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTOT,,1998,DHS,2010,2041,,,
ZAF,751767,Antenatal care from a skilled provider,95.1,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1998,DHS,2871,2903,,,
ZAF,567475,Antenatal care from a skilled provider,95,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1998,DHS,4122,4148,,,
ZAF,205486,Antenatal care from a skilled provider,95.7,1,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWSKP,,1998,DHS,2010,2041,,,
ZAF,754459,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2871,0,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNUM,,1998,DHS,,2903,,,
ZAF,566372,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,4122,0,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNUM,,1998,DHS,,4148,,,
ZAF,205498,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2010,0,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNUM,,1998,DHS,,2041,,,
ZAF,375163,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2903,0,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWUNW,,1998,DHS,2871,,,,
ZAF,27571,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),4148,0,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWUNW,,1998,DHS,4122,,,,
ZAF,205492,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2041,0,ZA,South Africa,1998,ZA1998DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWUNW,,1998,DHS,2010,,,,
ZAF,334590,Place of delivery: Public sector,76.5,1,ZA,South Africa,1998,ZA1998DHS,RH_DELP_C_PUB,83566010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCPUB,,1998,DHS,3072,3119,,,
ZAF,302266,Place of delivery: Public sector,74.9,1,ZA,South Africa,1998,ZA1998DHS,RH_DELP_C_PUB,83566010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCPUB,,1998,DHS,4992,5066,,,
