ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZAF,330965,BCG vaccination received,96.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_BCG,93886010,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCBCG,,1998,DHS,973,971,,,
ZAF,139796,BCG vaccination received,94.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_BCG,93886010,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCBCG,,1998,DHS,933,951,,,
ZAF,330966,DPT 1 vaccination received,93.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP1,93886020,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP1,,1998,DHS,973,971,,,
ZAF,139797,DPT 1 vaccination received,93.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP1,93886020,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP1,,1998,DHS,933,951,,,
ZAF,330967,DPT 2 vaccination received,86.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP2,93886030,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP2,,1998,DHS,973,971,,,
ZAF,139798,DPT 2 vaccination received,82.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP2,93886030,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP2,,1998,DHS,933,951,,,
ZAF,330969,DPT 3 vaccination received,76.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP3,93886040,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP3,,1998,DHS,973,971,,,
ZAF,139793,DPT 3 vaccination received,73.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP3,93886040,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP3,,1998,DHS,933,951,,,
ZAF,330968,Polio 0 vaccination received,91.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP0,93886050,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCOP0,,1998,DHS,973,971,,,
